Recording Team,Recording Date,Audio Filename,Spectrogram Filename,Age Category,Age Cat NB,Sex,Context,Context Category,Call Type (Freq),Call Type NB,Valence,F0Mean,Q25,Q50,Q75,Fpeak,Dur,AMVar,AMRate,AMExtent,Harmonicity,WienEntrMean,DFMin,LPC1,LPC2,LPC3,LPC4,LPC5,LPC6,Type
ETHZ,8/25/14,ETHZETHZPositivePositivepig1510.wav,ETHZETHZPositivePositivepig1510.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,48.974,105.091,328.136,709.586,73.963,0.245,143.629,20.39,7.044,-0.03,-1.421,1664.488,391.943,958.805,2149.773,3380.637,3859.119,5315.941,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig1513.wav,ETHZETHZPositivePositivepig1513.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,49.47,149.566,394.547,1365.225,84.205,0.289,109.322,25.947,4.213,-0.89,-1.732,1071.457,1038.448,2195.27,3373.159,5547.741,6846.378,7874.259,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig1514.wav,ETHZETHZPositivePositivepig1514.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,41.042,136.136,358.301,869.2,85.886,0.239,93.159,20.92,4.453,-1.77,-1.277,1223.329,405.034,2224.366,3342.285,3906.131,6044.269,6868.06,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig1515.wav,ETHZETHZPositivePositivepig1515.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFm,2,Pos,61.823,265.939,560.166,2205.21,375.425,0.237,122.774,21.086,5.822,1.05,-2.217,1101.899,390.746,1174.71,2434.26,3508.924,3855.396,6174.135,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig1516.wav,ETHZETHZPositivePositivepig1516.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,51.476,176.502,345.328,608.454,372.729,0.347,145.049,21.64,6.703,0.48,-1.324,891.086,369.364,1167.424,2252.133,3095.539,3849.726,4707.992,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig154.wav,ETHZETHZPositivePositivepig154.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,41.213,133.086,347.854,678.034,388.17,0.191,83.593,28.827,2.9,0.22,-1.457,950.183,400.752,1143.01,2340.624,3883.149,5097.133,6159.8,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig157.wav,ETHZETHZPositivePositivepig157.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,56.34,220.418,384.357,699.57,384.725,0.286,147.527,15.735,9.376,1.2,-1.506,1009.966,391.185,1148.065,2246.768,3335.79,3865.889,4644.518,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig158.wav,ETHZETHZPositivePositivepig158.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,55.712,268.98,546.035,2216.594,387.947,0.215,107.309,23.255,4.615,0.63,-2.372,1037.249,413.956,1084.897,2340.339,3447.093,5376.911,6326.45,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig159.wav,ETHZETHZPositivePositivepig159.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,52.354,143.461,322.438,692.941,108.545,0.188,95.349,21.325,4.471,0.04,-1.381,1726.442,362.914,1024.897,2319.63,3429.013,3859.128,6353.485,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1610.wav,ETHZETHZPositivePositivepig1610.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,39.622,225.639,601.466,2393.743,69.432,0.22,109.561,15.922,6.881,0.67,-2.001,978.419,444.281,2452.255,3408.55,4160.054,4842.919,5823.054,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1612.wav,ETHZETHZPositivePositivepig1612.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,43.926,247.488,406.071,948.489,381.46,0.239,130.344,18.793,6.936,2.12,-1.206,1226.238,396.921,2164.212,2422.3,3578.767,4076.73,6812.783,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1614.wav,ETHZETHZPositivePositivepig1614.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,41.706,166.991,368.331,628.548,389.249,0.183,114.725,21.848,5.251,1.66,-0.637,1085.727,421.154,1291.117,2388.771,3686.758,4809.329,5593.54,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1615.wav,ETHZETHZPositivePositivepig1615.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,50.986,271.522,571.355,2234.302,371.524,0.23,82.3,26.03,3.162,0.35,-2.474,1139.613,444.783,2652.303,3703.242,5698.417,7443.322,8686.285,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1616.wav,ETHZETHZPositivePositivepig1616.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,63.815,135.028,344.171,533.19,398.177,0.33,90.874,28.818,3.153,1.12,-0.835,1119.294,415.248,1278.106,2416.969,3596.236,6911.478,8209.96,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1617.wav,ETHZETHZPositivePositivepig1617.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,63.81,239.739,480.264,1755.102,401.464,0.197,95.64,12.691,7.536,1.92,-2.007,1259.186,436.742,1201.049,2557.131,3637.577,4120.915,5715.914,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1618.wav,ETHZETHZPositivePositivepig1618.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,42.439,196.189,393.103,634.972,428.103,0.194,145.444,12.892,11.282,1.36,-0.654,1579.702,426.146,2463.848,4101.714,6781.069,7485.049,8540.573,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig1620.wav,ETHZETHZPositivePositivepig1620.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,65.618,186.417,399.578,906.173,133.295,0.239,140.872,18.844,7.476,-1.23,-1.135,1154.548,396.453,932.746,2481.007,3774.206,4419.457,5223.059,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig168.wav,ETHZETHZPositivePositivepig168.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,43.867,314.179,567.148,2115.074,400.124,0.186,118.714,13.457,8.822,0.36,-2.052,1100.173,435.941,1128.355,2502.01,3679.195,4304.261,5860.344,LF
ETHZ,8/26/14,ETHZETHZPositivePositivepig169.wav,ETHZETHZPositivePositivepig169.wav_spec.png,Weaner,2,female,Enriched,Enriched,LFs,1,Pos,64.574,307.554,980.734,2647.828,131.954,0.183,62.054,13.633,4.552,0.32,-1.439,681.981,2363.249,3407.938,3888.919,5977.605,7522.955,8570.361,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig171.wav,ETHZETHZPositivePositivepig171.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,60.869,102.691,263.403,466.88,343.735,0.272,112.974,23.891,4.729,-1.42,-0.336,1865.543,374.147,2236.22,3265.151,3837.122,6835.765,8195.009,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig172.wav,ETHZETHZPositivePositivepig172.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,50.223,128.773,323.661,481.233,381.879,0.197,154.457,22.813,6.771,2.3,-0.465,1132.309,383.282,1087.054,2320.7,3250.782,3801.973,4591.108,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig173.wav,ETHZETHZPositivePositivepig173.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,55.714,112.41,251.683,423.527,352.515,0.277,119.603,25.231,4.74,-0.65,-0.495,1454.902,363.357,1076.891,2230.464,3056.995,5274.223,5952.954,LF
ETHZ,8/25/14,ETHZETHZPositivePositivepig174.wav,ETHZETHZPositivePositivepig174.wav_spec.png,Weaner,2,male,Enriched,Enriched,LFs,1,Pos,49.6,149.715,313.948,444.746,353.088,0.243,136.209,16.46,8.275,1.66,-0.377,1437.884,373.688,1853.696,2379.607,3297.814,4651.499,5552.309,LF
